Season,TeamID,odds,pct,act_pct
2022,1412,100000,9.99000999000999e-4,7.334365551477583e-4
2022,1151,100000,9.99000999000999e-4,7.334365551477583e-4
2022,1286,200000,4.997501249375312e-4,3.669015450789136e-4
2022,1103,200000,4.997501249375312e-4,3.669015450789136e-4
2022,1240,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1159,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1174,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1255,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1463,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1313,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1209,300000,3.332222592469177e-4,2.4464178330653317e-4
2022,1168,500000,1.999600079984003e-4,1.468046374130986e-4
2022,1460,500000,1.999600079984003e-4,1.468046374130986e-4
2022,1136,500000,1.999600079984003e-4,1.468046374130986e-4
2022,1411,500000,1.999600079984003e-4,1.468046374130986e-4
2022,NA,500000,1.999600079984003e-4,1.468046374130986e-4
2021,1124,500,0.16666666666666666,0.08670824704965041
2021,1211,200,0.3333333333333333,0.17341649409930082
2021,1222,1600,0.058823529411764705,0.03060291072340603
2021,1417,12500,0.007936507936507936,0.004128964145221448
2021,1276,700,0.125,0.06503118528723781
2021,1425,3500,0.027777777777777776,0.014451374508275069
2021,1116,3500,0.027777777777777776,0.014451374508275069
2021,1333,15000,0.006622516556291391,0.003445360809919884
2021,1104,1600,0.058823529411764705,0.03060291072340603
2021,1260,4000,0.024390243902439025,0.012689011763363477
2021,1199,2000,0.047619047619047616,0.02477378487132869
2021,1166,2500,0.038461538461538464,0.02000959547299625
2021,1437,4000,0.024390243902439025,0.012689011763363477
2021,1332,5000,0.0196078431372549,0.010200970241135343
2021,1393,8000,0.012345679012345678,0.00642283311478892
2021,1331,25000,0.00398406374501992,0.002072707100788456
2021,1228,600,0.14285714285714285,0.07432135461398606
2021,1234,1600,0.058823529411764705,0.03060291072340603
2021,1329,1600,0.058823529411764705,0.03060291072340603
2021,1452,2000,0.047619047619047616,0.02477378487132869
2021,1403,2500,0.038461538461538464,0.02000959547299625
2021,1242,2500,0.038461538461538464,0.02000959547299625
2021,1328,3500,0.027777777777777776,0.014451374508275069
2021,1458,4000,0.024390243902439025,0.012689011763363477
2021,1160,6600,0.014925373134328358,0.007764917646237351
2021,1261,5000,0.0196078431372549,0.010200970241135343
2021,1353,6600,0.014925373134328358,0.007764917646237351
2021,1196,8000,0.012345679012345678,0.00642283311478892
2021,1268,10000,0.009900990099009901,0.00515098497324656
2021,1317,15000,0.006622516556291391,0.003445360809919884
2021,1325,20000,0.004975124378109453,0.0025883058820791167
2021,1101,100000,9.99000999000999e-4,5.197297525453571e-4
2021,1326,1600,0.058823529411764705,0.03060291072340603
2021,1400,2000,0.047619047619047616,0.02477378487132869
2021,1163,3300,0.029411764705882353,0.015301455361703015
2021,1397,4000,0.024390243902439025,0.012689011763363477
2021,1345,4000,0.024390243902439025,0.012689011763363477
2021,1438,5000,0.0196078431372549,0.010200970241135343
2021,1314,5000,0.0196078431372549,0.010200970241135343
2021,1361,5000,0.0196078431372549,0.010200970241135343
2021,1281,6600,0.014925373134328358,0.007764917646237351
2021,1439,6600,0.014925373134328358,0.007764917646237351
2021,1429,6600,0.014925373134328358,0.007764917646237351
2021,1155,8000,0.012345679012345678,0.00642283311478892
2021,1140,8000,0.012345679012345678,0.00642283311478892
2021,1277,10000,0.009900990099009901,0.00515098497324656
2021,1179,10000,0.009900990099009901,0.00515098497324656
2021,1210,10000,0.009900990099009901,0.00515098497324656
2021,1455,10000,0.009900990099009901,0.00515098497324656
2021,1433,10000,0.009900990099009901,0.00515098497324656
2021,1207,10000,0.009900990099009901,0.00515098497324656
2021,1382,10000,0.009900990099009901,0.00515098497324656
2021,1422,15000,0.006622516556291391,0.003445360809919884
2021,1457,15000,0.006622516556291391,0.003445360809919884
2021,1159,20000,0.004975124378109453,0.0025883058820791167
2021,1251,25000,0.00398406374501992,0.002072707100788456
2021,1364,25000,0.00398406374501992,0.002072707100788456
2021,1287,50000,0.001996007984031936,0.0010384221203550948
2021,1186,75000,0.0013315579227696406,6.92742319970576e-4
2021,1213,75000,0.0013315579227696406,6.92742319970576e-4
2021,1233,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1111,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1156,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1180,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1216,200000,4.997501249375312e-4,2.599947437770627e-4
2021,NA,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1313,200000,4.997501249375312e-4,2.599947437770627e-4
2021,1411,200000,4.997501249375312e-4,2.599947437770627e-4
2019,1438,675,0.12903225806451613,0.10562015011887108
2019,1403,2500,0.038461538461538464,0.031482929362355805
2019,1277,1600,0.058823529411764705,0.04815036255419123
2019,1120,5000,0.0196078431372549,0.016050120851397075
2019,1181,255,0.28169014084507044,0.23057920096373266
2019,1211,550,0.15384615384615385,0.12593171744942322
2019,1246,1700,0.05555555555555555,0.04547534241229172
2019,1345,3500,0.027777777777777776,0.02273767120614586
2019,1314,1000,0.09090909090909091,0.07441419667465918
2019,1276,1800,0.05263157894736842,0.043081903337960574
2019,1222,5000,0.0196078431372549,0.016050120851397075
2019,1397,1800,0.05263157894736842,0.043081903337960574
2019,1439,8000,0.012345679012345678,0.010105631647175936
2019,1199,6000,0.01639344262295082,0.013418953498709031
2019,1332,20000,0.004975124378109453,0.00407241872348881
2019,1261,6600,0.014925373134328358,0.01221725617046643
2019,1138,10000,0.009900990099009901,0.008104516469517336
2019,1459,30000,0.0033222591362126247,0.002719455692429405
2019,1437,5000,0.0196078431372549,0.016050120851397075
2019,1242,6000,0.01639344262295082,0.013418953498709031
2019,1293,60000,0.0016638935108153079,0.001361990288554494
2019,1234,50000,0.001996007984031936,0.001633844637567367
2019,1268,25000,0.00398406374501992,0.0032611799339492065
2019,1196,20000,0.004975124378109453,0.00407241872348881
2019,1449,50000,0.001996007984031936,0.001633844637567367
2019,1416,50000,0.001996007984031936,0.001633844637567367
